[2019-03-30 19:11:25,681]INFO:--------Scope:email_read--------
[2019-03-30 19:11:26,626]INFO:Successfully fetched 1 emails
[2019-03-30 19:11:26,644]INFO:1 appointment(s) scraped from 1 email(s) in this period
[2019-03-30 19:11:26,644]INFO:--------Scope:google_cal--------
[2019-03-30 19:11:26,646]INFO:URL being requested: GET https://www.googleapis.com/discovery/v1/apis/calendar/v3/rest
[2019-03-30 19:11:26,976]INFO:URL being requested: POST https://www.googleapis.com/calendar/v3/calendars/primary/events?alt=json
[2019-03-30 19:11:27,213]INFO:Event created for [Justin Nordeman] for course [Calculus II] from [2019-03-26 09:30:00] to [2019-03-26 10:30:00]
[2019-03-30 19:12:36,574]INFO:--------Reading emails--------
[2019-03-30 19:12:37,444]INFO:Successfully fetched 1 emails
[2019-03-30 19:12:37,461]INFO:1 appointment(s) scraped from 1 email(s) in this period
[2019-03-30 19:12:37,461]INFO:--------Creating Events--------
[2019-03-30 19:12:37,463]INFO:URL being requested: GET https://www.googleapis.com/discovery/v1/apis/calendar/v3/rest
[2019-03-30 19:12:37,688]INFO:URL being requested: POST https://www.googleapis.com/calendar/v3/calendars/primary/events?alt=json
[2019-03-30 19:12:37,910]INFO:Event created for [Justin Nordeman] for course [Calculus II] from [2019-03-26 09:30:00] to [2019-03-26 10:30:00]
[2019-03-30 19:12:51,836]INFO:--------Reading emails--------
[2019-03-30 19:12:52,534]INFO:Successfully fetched 0 emails
[2019-03-30 19:12:52,535]INFO:0 appointment(s) scraped from 0 email(s) in this period
[2019-03-30 19:12:52,535]INFO:--------Creating Events--------
[2019-03-30 19:12:52,535]INFO:No events to create in this period
[2019-03-30 19:13:35,049]INFO:--------Reading emails--------
[2019-03-30 19:13:35,950]INFO:Successfully fetched 0 emails
[2019-03-30 19:13:35,952]INFO:0 appointment(s) scraped from 0 email(s) in this period
[2019-03-30 19:13:35,952]INFO:--------Creating Events--------
[2019-03-30 19:13:35,952]INFO:No events to create in this period
[2019-03-30 19:13:35,952]INFO:--------Scanning Period Ends--------
